FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
YAMLfiles,Medium,Prevent containers from allowing command execution,60,914,93.43545
YAMLfiles,Medium,Roles with delete capabilities,176,862,79.58237
YAMLfiles,High,Applications credentials in configuration files,44,552,92.028984
YAMLfiles,Medium,Non-root containers,379,385,1.5584415
YAMLfiles,Low,Access Kubernetes dashboard,0,1247,100.0
YAMLfiles,High,List Kubernetes secrets,195,862,77.37819
YAMLfiles,Medium,Allow privilege escalation,283,386,26.683939
YAMLfiles,Low,Immutable container filesystem,304,385,21.038961
YAMLfiles,Low,Configured readiness probe,294,385,23.636364
YAMLfiles,Medium,Mount service principal,0,385,100.0
YAMLfiles,Medium,Ingress and Egress blocked,338,422,19.905214
YAMLfiles,Medium,Delete Kubernetes events,56,862,93.50348
YAMLfiles,Medium,Automatic mapping of service account,153,609,74.87685
YAMLfiles,Medium,Administrative Roles,20,862,97.67981
YAMLfiles,High,Host PID/IPC privileges,10,385,97.402596
YAMLfiles,High,HostNetwork access,12,385,96.88312
YAMLfiles,Low,SSH server running inside container,0,27,100.0
YAMLfiles,Medium,Container hostPort,4,385,98.96104
YAMLfiles,High,Writable hostPath mount,16,385,95.844154
YAMLfiles,High,Insecure capabilities,8,385,97.92208
YAMLfiles,High,HostPath mount,18,385,95.32468
YAMLfiles,Low,Network mapping,31,31,0.0
YAMLfiles,Medium,Access container service account,649,650,0.15384616
YAMLfiles,Medium,Cluster internal networking,31,31,0.0
YAMLfiles,Medium,Linux hardening,305,385,20.77922
YAMLfiles,Medium,Configured liveness probe,299,385,22.337662
YAMLfiles,High,Privileged container,18,385,95.32468
YAMLfiles,High,CVE-2021-25742-nginx-ingress-snippet-annotation-vulnerability,0,0,100.0
YAMLfiles,Low,Pods in default namespace,189,385,50.90909
YAMLfiles,Medium,Sudo in container entrypoint,0,385,100.0
YAMLfiles,Medium,Portforwarding privileges,30,862,96.51972
YAMLfiles,Medium,No impersonation,21,862,97.563805
YAMLfiles,Low,PSP enabled,0,0,100.0
YAMLfiles,Low,Naked pods,4,4,0.0
YAMLfiles,Medium,Container runtime socket mounted,0,385,100.0
YAMLfiles,Low,Image pull policy on latest tag,30,385,92.20779
YAMLfiles,Low,Label usage for resources,265,385,31.16883
YAMLfiles,Low,K8s common labels usage,293,385,23.896105
YAMLfiles,Medium,Images from allowed registry,0,0,0.0
YAMLfiles,Medium,CVE-2022-24348-argocddirtraversal,0,0,100.0
YAMLfiles,Critical,CVE-2022-39328-grafana-auth-bypass,0,5,100.0
YAMLfiles,High,CVE-2022-47633-kyverno-signature-bypass,0,0,100.0
YAMLfiles,Medium,Prefer using secrets as files over secrets as environment variables,12,385,96.88312
YAMLfiles,Medium,Workload with PVC access,0,552,100.0
YAMLfiles,Medium,Missing network policy,338,589,42.6146
YAMLfiles,High,Anonymous access enabled,0,285,100.0
YAMLfiles,High,Ensure CPU limits are set,313,385,18.701298
YAMLfiles,High,Ensure memory limits are set,312,385,18.961039
